599308	jbo	le karce cu bredi
599316	jbo	le mlatu cu nelci lo nu sipna ne'a mi
599317	jbo	ti du le mi karce
599321	jbo	dei na jufra
599329	jbo	lo nanla pu smaji
600573	jbo	ko ciska le do cmene le liste gi'e dunda ly. lo lamji be do
600728	jbo	mi dukse lo ka se cuntu kei lo nu sidju ko'a
600732	jbo	lo nanla cu jgari lo verba gerku fo lo cutne
600779	jbo	xu do stali lo zdani ze'a lo cabycte
600788	jbo	ko'a mutce laldo .i ku'i tsali
600794	jbo	lo ro slabu prenu cu nitcu lo se tavla
601070	jbo	la .keit. joi la .braiyn. cu casnu le larxra
601461	jbo	le ratcu cu jmive gi'i morsi
601558	jbo	ko'a jbena fo la .xelvetik.
601797	jbo	ko'a xelvetiko
601826	jbo	le du'u djuno fi lo skami cu jicmu ro saske
601837	jbo	lonu tavla fo le glibau na frili
601919	jbo	le cifnu cu klaku mu'i ma
602525	jbo	mi mutce senva
602542	jbo	le mamta be mi'o cu terve'u lo cifyge'u seva'u mi'o
602555	jbo	ko'a puze'i stali
602881	jbo	ko'a pu ze'i va stali
606923	jbo	mi ca lo prulamdei cu klama ce'o limna lo rirxe
607477	jbo	xo plise
607672	jbo	le bangu be lo klece'u ku roroi vajni tcila
607863	jbo	mi'e la .farcad.
608909	jbo	mi na pu sipna ki'u lenu glare
608983	jbo	lenu cikybi'o cu du lenu to'e sipybi'o
609698	jbo	loi cipni cu vofli
609700	jbo	mi na kakne lo ka tavla
609701	jbo	xu lo patfu be ra cu mikce
611315	jbo	ra se tcaci lo ka cikybi'o ca lo clira
611330	jbo	mi djica lo ka jarco lo banli jvinu do
611332	jbo	lo re bruna cu mutce lo ka simsysi'u
611336	jbo	pu nicte
611366	jbo	lo cribe cu kakne lo ka cpare lo tricu
611465	jbo	le do zdani cu barda
612881	jbo	ri'a tu'a lo savru mi pu na kakne lo ka sipna
612882	jbo	pei glare ne'i le vi kumfa
613387	jbo	mi pu penmi lo pendo be mi le vijytcana
617523	jbo	ra pu zutse lo stizu
617551	jbo	la'e di'u xamgu preti
617567	jbo	lo ka tavla fo lo glico na frili
617579	jbo	mi ponse le vi karce
617598	jbo	xu do djuno lo du'u ta'i ma kau pilno lo skami
618105	jbo	uacai
618163	jbo	lo selslasi ca ba'o basti so'i cnano selmarji
618185	jbo	.e'o ko gasnu lo nu co'a gusni
618383	jbo	da'i mi dunda ro drata be ti do
618563	jbo	ra na bilga lo ka co'e
618717	jbo	ta'i ma do klama lo ckule
618732	jbo	ra pinxe lo djacu pa kabri ca ro cerni
618745	jbo	ca ma lo munje cu tolcfari
618752	jbo	la.ken. cu klama lo panka te zu'e lo nu penmi la.iumin.
618761	jbo	mi selsau lo so'o tadni pe le ckule
618768	jbo	ku'i mi no'e jimpe tu'a ra
618778	jbo	ma'a tirna se pi'o loi vo'a kerlo
618791	jbo	mu'i ma mi mutce gunka
618803	jbo	ko lumci lo kumfa
618807	jbo	lo minji ca na akti
619520	jbo	lo va nixli cu mo
619524	jbo	ma pofygau ti
619525	jbo	ma zbasu ti
619526	jbo	gau ma co'e
619527	jbo	do mutce melbi
619529	jbo	do na ponjo
619530	jbo	do ctuca
619537	jbo	do kakne
619539	jbo	do ka'e lacri ra
619541	jbo	do ka'e zgana lo veltivni
619545	jbo	do falcru lo do pinsi
619584	jbo	ti me mi moi lo karce
619589	jbo	tu poi nixli cu mintu ma
619597	jbo	pei glare ne'i lo vi kumfa
619805	jbo	xu do djuno lo du'u ta'i ma kau kargau lo vi tanxe
619815	jbo	xu do djuno lo du'u ta'i ma kau kargau ti noi tanxe
619820	jbo	mi prami do
619849	jbo	ra nelci lo nu zgana lo veltivni
619853	jbo	ra nelci lo nu xabju la.tokion.
619855	jbo	ra nelci lo nu jukpa
619860	jbo	ra nelci lo ka limna
619869	jbo	ra nelci lo nu tcidu fi lo cukta
619876	jbo	ra nelci lo nu tinju'i lo zgike
619890	jbo	ra nelci lo nu bajra
619921	jbo	oi fanza .i mi co'a cortu lo stedu ca ro nu pilno lo skami
620499	jbo	xu da poi gerku cu citka lo narseljukpa finpe
620504	jbo	xu da gerku gi'e citka lo narseljukpa finpe
620522	jbo	oi ra ca tikpa mi
620527	jbo	la'e di'u jetnu oi
620759	jbo	mi jinvi gi'e ni'i zasti
620766	jbo	mi pu na djuno lo du'u ko'a klama fi ma kau
620771	jbo	xu do pu na djuno la'e di'u
620779	jbo	mi ponse lo barda gerku
620861	jbo	do ba'e ka'e co'e
621304	jbo	ge ra mutce laldo gi ku'i tsali
622200	jbo	loi vi canko cu se bancu lo snanu
622222	jbo	la'a lo vi cukta cu xamgu se vecnu
622226	jbo	la'a ti noi cukta cu xamgu se vecnu
