599308	46819
599316	44558
599317	56205
599321	547389
599329	47434
599329	1487680
600573	29694
600728	261729
600732	268019
600779	69409
600788	292152
600794	326417
601070	625908
601461	625907
601797	601808
601826	54569
601837	400395
601919	272320
602525	602516
602542	484055
602555	315022
602881	315022
607477	1164076
607863	509917
608909	258592
608983	479966
609698	278213
609698	609681
609698	3579649
609700	609291
609701	609039
611315	395727
611330	437067
611332	44633
611336	323962
611366	18079
611465	602534
612881	254241
612882	57331
613387	257000
617523	501258
617551	521667
617567	400395
617579	56205
617579	625545
617598	54570
617598	2356821
618105	618101
618185	38817
618383	54908
618383	657204
618563	289868
618717	38359
618732	303891
618745	271149
618752	238916
618761	252937
618768	39296
618778	248818
2269943	321846
618791	36374
618803	319618
618807	48817
619520	68220
3813075	25164
3813075	356200
619524	54973
619525	276317
619526	276223
619527	69112
619527	385394
619529	69057
619530	69155
619537	1391
619537	2362784
619539	490921
619541	69882
619545	16283
619584	56205
619589	68220
619597	57331
619805	57517
619815	57517
619820	1434
619849	291890
619853	301918
619855	434962
619860	293933
619860	434964
619869	303796
619876	312758
619890	456733
619890	630421
619921	1687
620499	412069
620504	412069
620522	1325
620527	1320
620759	454514
620766	1383
620771	277012
620779	253213
620861	3383583
621304	292152
622200	58030
622222	56998
622226	56998
622283	298529
622324	24779
622337	252187
622338	625502
622339	52704
623786	623728
623795	263700
623799	263700
623824	62700
624086	388377
625519	625258
625647	625172
625667	624769
625677	70623
625677	408293
625698	624546
625751	403068
625751	433468
625842	252991
625901	625872
625904	625185
625917	2366579
626061	36088
626061	38931
626062	36088
626094	294800
626100	257310
626524	436329
626536	626506
626536	626507
626571	625882
626825	290184
626833	48431
626834	48431
627027	281970
627112	325973
627335	628380
627383	324656
627401	628363
627404	627421
627404	684765
627411	628357
627412	628352
627419	27002
627665	257587
628128	249916
628139	252100
628341	628387
628407	418628
630670	32207
631220	57853
631460	631443
631512	261463
631520	268677
631533	255944
631536	631535
631622	1910
632381	632373
632386	256715
632389	45777
632401	70360
5180772	321424
632418	275682
632423	16246
632424	405500
632426	26203
632427	300638
632435	238398
632441	59665
632444	65989
632446	16997
632450	37069
634334	279731
634334	684729
634590	40775
634591	326004
634592	326009
634596	326011
634597	38053
634598	38057
634600	38040
634602	38041
634604	38047
634605	38050
634622	298801
634624	319092
634625	246391
634626	27611
634641	1482
634642	69058
634647	1463
634648	247840
634650	16343
634651	68327
634654	255547
634657	290421
634658	286366
634660	51700
634663	294875
634743	560933
634744	51271
4333464	1878
634746	30307
634747	30969
634748	30980
634749	37090
634750	54604
634752	294595
634753	373330
634753	538123
634754	398746
634755	389393
634756	409194
634757	505657
634760	524307
3813143	32635
3813143	64336
3813143	360558
3813143	516745
3813143	647456
634762	310881
5181393	466652
634765	436707
634766	308847
634767	317479
634768	258823
634770	311854
635802	247138
635806	35732
635831	767146
635840	281447
635840	684781
635846	281447
635850	299909
635850	2364719
635854	291665
635860	239030
635863	627067
635866	60758
635870	25652
635875	268941
635879	324002
635880	281912
635881	462526
635882	462526
635883	303874
635884	514232
635885	37704
635888	301583
635889	67150
635890	261507
635892	553815
635893	36034
635895	300827
635896	284167
635896	2362780
635898	257358
635899	240712
635900	61439
635901	436591
635952	70146
635955	328955
635957	53304
635959	323550
635961	290424
635963	276536
635967	41916
635968	29637
635970	69644
635973	245079
635973	1359285
635976	263348
635977	258102
635981	40337
635983	395746
635987	321121
635988	20674
635992	312323
636078	268941
636508	2382710
636705	636627
638701	276162
638701	763890
638707	2475
638710	2479
638711	1277
638712	1277
639026	49726
640152	1964
640190	1965
640224	1953
640244	1954
640250	1955
640585	706912
641518	31495
641533	19471
641690	618217
642158	460267
642160	633939
642161	633939
642668	618217
643476	435052
644982	556624
645009	257013
645021	292291
645262	699134
645273	292305
645282	53312
645368	310502
646724	284955
646761	636356
